,Tweet,Affect Dimension
70,My dog wouldn't stop barking so now I'm up at eight am with a raging headache,anger
74,How shit and depressing is this weather wish I can travel the world for a living,anger
77,@MafiaWorldMario Stg everybody say that 😂 then when we tell them they got huff they be mad as shit,anger
80,You would think booking a holiday for 2 you'd be sat next to each other on the bloody plane #fuming 😡@ThomsonHolidays,anger
82,"you annoy me, your name annoys me, your EVERYTHING annoys me 🙃",anger
84,and after i got home in such a horrible mood my mom pissed me off the moment i stepped my feet in the house so i really almost go off on her,anger
93,"Listening to these refugee children, barely a decade old, describe the horrific acts they were forced to commit is terrifying. #DatelineSBS",anger
95,i excepted the eclipse to make me believe in an omniscience force #dissapointed,anger
96,Someone's nicked my lunch out the fridge at work!! Roast dinner as well! #fuming,anger
99,#PhoenixRally #Deplorables insult and denigrate #JohnMcCain as he struggles with treatment for #glioblastoma #impeach45 incites ,anger
102,Literally kicking myself for not catching up on GOT and now all I see is SPOILERS #pissed,anger
106,@silverstein 13th time seeing you guys today and you cancel the meet and greet because of the storm. We're all soaked.. 😡 #dissapointed,anger
109,"@BillMoyersHQ Elderly belong w/family; our social system is broken.  This egregious 'Meancare' will shake it up, alas.",anger
111,There's nothing interesting here besides of retweet for follow #annoyed 😣😣,anger
114,@izzyaline burning up damn,anger
115,Freakin a...I deleted half the episode of BIP on accident  #bachelorinparadise,anger
117,"Can't handle rude people. Doesn't matter what job you do, a consultant or not, treat people how you would like to be treated 😡 #disapointed",anger
118,@AmyJoSmyth #OOC Thing is she holds a grudge like mad,anger
124,How sick must someone be that they wish to 'punish' someone for not being their friend?  #insecure #lonely #miserable #vengeful #RHOC,anger
126,The same part of roof bar (driver's side) are stolen from Grand Vitara cars. Let it be known. This is really #disheartening #brunei,anger
129,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open😐",anger
132,@theIeansquad @SatanHeavenly Rap is so unbearable and horrific.,anger
133,"Nigga write me talking bout I dreamt about you, cool I hope I was haunting you in a nightmare",anger
141,@PamelaGeller Disgusting. @facebook you just may end up like #snap. #traitor,anger
143,Can't stand it when lads put their middle finger up in pics ,anger
145,"@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. #dreadful",anger
148,@kylegriffin1 #outrage police\ntelling a woman she looks nice for her age is apparently sexist.\nYou #FakeNews people are #crazy,anger
151,United Airline at Newark needs more Kiosks so that people won't miss their cut off time.  And hire more ppl too.  #horrible,anger
154,That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,anger
159,"@CNN thanks Hollywood, (Depp). all these climate change fanatics using private jets and gas guzzling cars are to blame for this! #outrage",anger
160,very very irritated 😐,anger
162,@KeenanRuggeri You would have been raging as it was probably put in place instead of an extra crisp,anger
163,Hmm...looks like no one @Tampax is available to respond. Its like waiting for a #doomsday reply. That #burning question with no #answer,anger
166,@WhiteJennyB @EmreUslu jenny white  u r the dumbest here .. What r u trying ? Get lost..,anger
173,"Imagine how many ksones are crying right now for not getting tickets 😭 Meanwhile, isones dont even get a chance to go on war for tickets 😭",anger
178,@Cmdr_Hadfield CNN's Wolf Blitzer calls you an American astronaut and you don't correct him? #dissapointed,anger
180,"@vinsquat67 It was indeed, I was raging at the verdict. Can't imagine how the poor lassies family felt.",anger
184,If @TheRock's Presidential run is as bad as his appearance in #Baywatch neither party need fear his run. That's $8 I'll never get back #crap,anger
185,"Like I might've set it down on top of my car &amp; if so, that shit is long gone 😭 ",anger
187,"when everyone you know has died because of a treaty you had no involvement in drawing up, you get an enormous amount of fury",anger
188,Fucking fuming is an understatement,anger
194,#depressed Today was bitter sweet watching all the kids go back to school made me really miss my babies. I'm so broke #backtoschool2017,anger
196,Quite possibly the worst anthems I've ever heard in pro sports by both singers. I wish I was deaf. #ASG2017 #mlb #MLBAllStarGame ,anger
198,Definitely something happening today #SolarEclipse2017 #weird #annoyed,anger
199,I haven't lost weight but I appear smaller and I'm pissed 🙄,anger
200,@PayPalUK have well &amp; truly done me over the day before I go on holiday! #fuming,anger
206,@0510Keisuke devour the unborn\nhuman rejection\nfrom wrath to ruins,anger
213,@byunsolo I DIDN'T ASK FOR THIS EITHER IT JUST HAPPENED 😤,anger
214,"Blah blah blah Kyrie, IT, etc. @CJC9BOSS leaving Boston is the real news and I am #devastated! #celtics #fave  #someonegetmeajerseyteeasap",anger
216,Can't Talk To An Incompetent Person. Goes In One Ear and Out The Other. #irritated #NoPoint #MassiveEyeRoll,anger
218,was one moron  driving his oversize tonka truck with the big flag in the bed back and forth blaring country music. 😐 #disappointment,anger
223,@1720maryknoll I was #fuming Kenny.,anger
228,"@SRuhle @MSNBC Sebestian Gorka, what a arrogant A~hole! Has no business speaking! ",anger
230,@skh4808 @theveteran425FA @TomiLahren Then why'd they wait until now to start getting pissy? ,anger
232,@freemanstanzan2 you're a cowan... that means you're a slimebag. I wouldn't trust you as far as I could throw you. #arsehole @StuartHarker1,anger
237,Oh @BentleySystems what hast thou done to thy configurations? #despair,anger
243,"I click on download on my PC. Message says 'Thank you for downloading #iTunes \nSo, where's the download?! #frustrated ",anger
246,@mickyrivera29 interesting but a transfer too costly. You can only irritate others when you get a top talent for a low/ avg fee,anger
248,@IainDale @LBC The only word worse than 'moist' in my opinion is 'scrape'. #ugh #shudder,anger
250,"Won't be watching ESPN anymore, they took Robert Lee off because of HIS name, PC Police, what insanity! more #hatred #bigots #LeftwingNutJob",anger
253,"That was absolutely the two worst National Anthem singers I've ever heard, both of them screwed up the words #awful",anger
257,Seriously about to smack someone in the face 😵 #arsehole,anger
259,@UNESCO Remember not to spread #hatred and #fakenews on the internet. Do not abuse #Hashtag10 for spreading #ArabNationalism!,anger
260,#LoiuseLinton has become the female #MartinShkreli. Most hated woman in America. That takes some skill. #entitlement  #notcute,anger
262,@junkersquawker Oh lords. That would have had my blood boiling,anger
263,@Activehours I need someone to reply back to me immediately. I am not happy and not getting timely responses through the app! #help ,anger
264,"@SteveBakerHW When it comes to CREDIBLE scare stories George Osbourne is crap, still at it I see.",anger
265,@1ncamera @Weehugs @DavidYoungPA @PA Stupidity is part of their proud cultural identity. 😠,anger
267,#Rage and #disappointment man.... Is that life or what? Lol,anger
270,Why are girls so bad at letting shit go? That's prolly why they're moody. They're all built up with grudges and anger and regret. 😂,anger
272,today i feel like an exposed wire dangerously close to another exposed wire and any provocation will fry me,anger
273,@rosieblossoms_ What a miserable piece of shit 😡,anger
275,Got woken up by a road sweeper I was trying to sleep ,anger
276,maybe me and joey should have ignored each other on tinder and posted it on social media for a trip to Hawaii ☹️ #bitter,anger
278,"﻿2|206|When it is said to him, 'Fear Allah', He is led by arrogance to (more) crime. Enough for him is Hell;-",anger
279,WAIT...Lawrence's friend dragged the fuck outta him!! ,anger
283,I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,anger
286,#Twitter these days is just a massive critical debate on those that people don't like #annoying #depressing and #dull 😑,anger
288,Why does @DANCEonFOX get rudely interrupted by the worst thing ever imaginable?!? Ugggg #irritated,anger
289,if you wake up somewhere else...you will know some #arsehole has pressed a button ;),anger
291,James Clapper 'scary and disturbing'.  #25thAmendmentNow #ImpeachTrump  #terrified #nuclearcodes  #Godhelpus,anger
295,Everything I order online just comes looking like a piece of shit 😤,anger
299,"I live 30 miles away from work, &amp; arrived to realise laptop is still on the bed. ",anger
300,And I'm really pissed the fuck off because I do a good job of keeping my kid well because I don't like to see her sick and sad.,anger
304,why don't the kids on my street have msn or something to play on instead of enjoying themselves outside #bitter #shush,anger
306,@andyfleming83 Bastard squirrels. 😡,anger
308,Literally hanging on by a thread need some taylor ray tonight loving a bad dog sucks #taylorrayholbrook #hurting @TaylorRaysTweet,anger
309,"@nextofficial placed order for nearly a grand SIX weeks ago, called yesterday, order 'missing' and no call back today! #shocking",anger
314,Sarah is a complete lunatic. How Chad is still giving her his time is beyond me. #cbb #mad #crazy,anger
315,@AliceT120 @shaney_waney1 @shaney_waney1 u horrible non gender binary boy go fangirl over some mediocre singers who CANT EVEN SUPPORT,anger
317,@ParkerMolloy @KFILE Very misleading heading. Not to mention an agenda driven article. ,anger
322,Why the FUCK have i just saw a Game of Thrones spoiler on snapchat? SOME OF US HAVENT SAW IT YET 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻 #arsehole,anger
323,At this point I can't tell if I just follow more people in politics on twitter now or if I need new friends. #wheresthefunny #depressing,anger
324,If I have to hear one more time how I am intimidate men... I'm going to explode! Why are guys these days so pussified?,anger
325,get the fuck over yourselves. we are the most capable and you wanna sit and sulk in your bullshit and fear of failure honestly fuck yourself,anger
327,What is this miserable ass weather all about 😭 dark and gloomy #depressing #weekoff #wheresthesun,anger
329,Afridi !!! 100 off 42 !! #mad,anger
335,So @Ryanair site crashes everytime I try to book - how do they help? Tell me there's nothing wrong &amp; hang up #furious #helpless @SimonCalder,anger
337,"Beware the wrath of an angry, frustrated, #agile grandma with a network. 👵🏼😡 I'm just sayin'. #objectlesson",anger
339,work is going to kill me and 5 o'clock is nowhere near 😟,anger
340,Migraine hangover has to be the worst thing ever 😣 #burst,anger
344,Each and every time I log on to that website to view the Lindsey Vonn pics I am #saddened by the courseness of our culture.,anger
346,@theAliceRoberts @FryRsquared @AdamRutherford They've obviously never tried 'repressing' a red head #fiery,anger
352,I'm sorry but also...fuck you #currentfeels #anger #bpd #eupd #borderliner #mentalhealth #anxiety #depression #confused,anger
353,"Went to bed a 1:30, fell asleep after, my niece started crying at 4. I'm dying... 😧",anger
357,@washingtonpost @silvajanes How awful!!!!!!,anger
360,"If you sit back, watch &amp; listen to every .@TheDemocrats &amp; .@DNC member, you'll quickly learn it's #Victimhood, #racism, &amp; #hatred. I'm #WOKE",anger
361,"@RanaAyyub @rajnathsingh Oh, hidden revenge and anger...I rememberthe time,she rebutted you.",anger
363,Some 'friends' get bitter when it seems your life is moving better than theirs.,anger
364,I swear to god my husband is gonna get us murdered by someone with road rage because he drives like he's in the Indy 500,anger
365,When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,anger
368,@MikeAndMike @Buster_ESPN if you get time.. @Orioles buyers it sellers or what are we going to do!!?! #panic,anger
373,and i shouldve cut them off the moment i started hurting myself over them :o,anger
376,"@LeahRemini  A 'religion' that pushes people to suicide, and punishes you for doing the right thing?? #heartbreaking",anger
377,I'm soooo annoyed. Wait to start my morning.,anger
380,if not then #teamchristine bc all tana has done is provoke her by tweeting shady shit and trying to be a hard bitch begging for a fight,anger
381,Perks of having that shit: I lost a friend somewhere along in the bitterness,anger
383,Time to #impeachtrump . He is #crazy #mentally #sick and spews #hatred . #America is in trouble with him having #access to #nuclearcodes 👎👎,anger
384,"Had frustration dream that left me utterly f**king furious. Plus side: so angry couldn't sleep, wrote 1500 words. Minus side: still raging!",anger
385,"@TorridFashion I love you, but between online order drama and your horrible hold music I have a bit of a shopping induced headache. #annoyed",anger
0,@PageShhh1 I know you mean well but I'm offended. Prick.,anger
2,"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",anger
3,#AmarnathTerrorAttack  Muslims are killing everywhere Syria Iraq Palestine Everyday beyond They say that Islam is terrorism shame on you,anger
4,Prepare to suffer the sting of Ghost Rider's power! Prepare to know the true meaning of hell!,anger
6,"Just know USA, all Canadians don't agree with what Khadr's settlement and his unwillingness to take responsibility for his actions. #outrage",anger
7,I hate getting woken up out my sleep 😡,anger
8,@Mothercarehelp after being assured we would get the rest of our order it has been cancelled and a 10% voucher issued.  #nothappy,anger
9,#UKVI why are you so difficult to access? And why on earth am I being charged exorbitant amounts to understand about my visa status?!  #crap,anger
11,#ATO hacking into your phone calls and text messages! #privacylaws #invasion I knew they did it but hearing them get approval !,anger
12,@CP_UK_Longleat money grabbing and RUBBISH customer service!!! Rapids shut but no reply to emails! #diabolical #CustomerService #crap,anger
13,I am so freaking annoyed that he constantly feels the need to be a time in my life where I'd be happy with just one monitor on my PC,anger
14,I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...,anger
28,"Field mines, like people, explode when trodden on #anger #people #pokethebear",anger
29,"*gen math class*\n\nms: what is the value of x in this eq'n?\n\nme: x is 10....tial dread and suffering is a prison without escape, only death.",anger
35,I give up! #simples #unhappy #fedup,anger
41,Why hasn't my alarm gone off... 🤔😩⏰,anger
43,"Mothafuckas wanna adopt the dark, but I was born in it",anger
52,@Fish_pw But I would say that wouldn't I #bitter 😂,anger
53,"As ready as I was for this, and even drinking lots of coffee without sugar, failing still tastes so so so bitter",anger
56,"JaredKushner &amp; IvankaTrump are called senioradvisors,but are more like #caregivers who try to moderate dads outbursts of #narcissistic #rage",anger
57,It's an #outrage that airports don't have smoking rooms in the departures area.,anger
64,The best kind of self harm is through the mind #depression,anger
66,@GMA4Trump_ Nope we don't have it. It's an #outrage,anger
70,"@adnilxa Russia , Russia Russia, Know any other word??? It gets old folks. We need to work together. Dems having tantrums!!!",anger
72,All these swerve bums are fucked when madden 18 comes out #madden18 #EAPLAY #eamadden #mut18 no skill ass players with that bitch shit,anger
75,Haven't been on a holiday abroad in two years how depressing is that btw☹️,anger
76,@GorjusGeorge5 @MrBridger1905 I'm fuming that you're fuming 🙄 #fuming,anger
79,@AmazonHelp Why are you making it so hard to return a faulty item. It's not my fault that you sent out an item that doesn't work #fuming,anger
83,I guess this is the most awkward moment... 'cause  I don't have anything to do so I'm literally bored!!! #bored #lonely #ugh #annoyed :'(,anger
86,@amarakhbaranth1 Not answered my question - when the #AmarnathTerrorAttack perps are killed like rabid dogs will you praise army?,anger
88,#jeremyvine take a slightly dull subject and makes it so tediously boring you actually want to rip your own throat out!,anger
91,"And then when you tell those people, they’re wrong in their stance, they want to get mad and start bullshit. I don have time.",anger
95,@Holbornlolz My Big Mac was cold ! #fuming,anger
96,That became obvious with the Morata saga. The fucking bitter old cunt turned down 70m for that sideman.,anger
101,@975Mornings hey! I resent that .... I have toe thumbs,anger
105,@AppleSupport worst customer service. 3days to get a diagnostic appt?! #disappointing #ittakes3minutestorunadiagnostic,anger
107,Odd watching #Antifa extremists going full spectrum to become Fascists\n\n#Violence #Hate #angry #Clueless #YOUTH in mom's #basement come out,anger
110,Remember when Julia thought she was pregnant with Michael's baby and I was so happy about it and then the storyline got dropped. #pissed,anger
111,@BrocatoWanda You can't make this crap up. Therefore my 😐 response.,anger
112,See people now selling their #MayMac presss conference tickets at Wembley for £100 now when they were free. Scum cunts!!! 😡,anger
113,@mumsnet_madness I am furious that these passive smokers are huffing all my cig smoke without contributing to the cost of a packet #outrage,anger
116,Anyone else find it really difficult to stop yourself from making a really petty tweet when ur absolutely raging about something ? 😬,anger
119,Shitty is the worst feeling ever #depressed #anxiety,anger
124,@Jeremy_Hunt Unbelievable #arrogance to think you know better than #StephenHawking .,anger
126,@Alex_H_1234 Fuck sake i'm fuming. on the upside at least I can keep loving the bloke and that he didn't sign for Chelsea or Liverpool..,anger
128,Stay angry.,anger
129,@Sailingflyingd @kylegriffin1 This is what happens when blinded by raging hatred,anger
135,Doug Beattie joked on twitter once upon a time about putting Afghan people in 'body bags'. Hard to take this outrage seriously @BBCTalkback,anger
147,Things that rage me: when I hear a man ask a woman if she thinks her skirt/dress is too short\n\n😨😵😠😡😤 #shame #rage #Feminism #feminist,anger
148,"If I see one more Lakshmi EX enrage, I'm kill someone.",anger
149,It's so ridiculous that ppl are actually hating on niall and throwing tantrums just cause he isnt going to their city,anger
150,all this anger is making me tored and there's literally no reason to stay up for this shitshow,anger
151,Paul is such a fucking bully! Dam leave the poor guy alone. He went on #BB19 to play the game same as you SMDH pathetic #annoyed #worstvet,anger
156,Another blow for students as the SU have shunned wildcats for fear they will offend Dr. Dre.,anger
162,@DavidLammy This kind of abuse is UNBELIEVABLE and an absolute disgrace. It makes me sad to see this #dismayed,anger
166,Black people music always has that awful little tstsststsststss sound it really bothers me.,anger
167,"i must say, the amount of low-level fighters and gatekeepers running their mouths is ridiculous. #jealousy  #ufc #jonjones",anger
168,It's taking apart my lawn! GET OFF MY LAWN! ,anger
169,@LiamPaulCanning Gotten on the wrong side with Dortmund as well. Watzke not happy with how they handle the situation. #arrogance,anger
171,@AlaskaAir as a long time Gold &amp; near Million mile member just had a terrible customer service experience #disappointing,anger
177,Sam all she fuckin said was about you meeting her rents on Friday which WAS GOING TO HAPPEN ANYWAY YOU DICK #cbb #cbbfinal #arsehole,anger
183,Anybody else getting furious about all the ads / articles filled with #WalkingDead &amp; #GoT spoilers? #mad #furious #sad #SpoilerAlert,anger
185,"Request MRI 2 years ago, Neuro only requested last year, I'm still waiting on appointment  #mssucks #healthcareFail",anger
186,"@SimonCrow @jeremyhagon I've never had someone I've never even met, infuriate me so.",anger
188,I feel like it's taken me like 6 months to understand what net neutrality is but like...fucking capitalists I'm ,anger
191,Yo what kind of person just drops gum in the ground when you could throw it into the trees and not get it on my shoe?!?! ,anger
193,Be fuming if Sunderland sign Murphy like. He was crap when we first signed him and he's still crap now,anger
194,Signs of Incipient Faggotry are the arsehole quivering and puckering.,anger
195,I am furious. It is nearly 1pm and we still haven't signed another player. #getyourchequebookoutchairman,anger
197,I just love being married to someone who knows everything. 😒#married #whatever #annoyed,anger
201,"I don't know what to say. I'm so tired rn. Maybe one more time, and I'll burst out of anger.",anger
202,Things that irritate me #987\n\nThe ticking sound of my watch \n\n....,anger
205,"I'm furious, wondering what happens after the latest 'Yep, sounds pretty treasonous' scandal. At least calling Sens is something we can DO.",anger
206,@shelby_Billsfan @buffalobills They kinda hafta be these days. #bleak 😬,anger
207,shaft abrasions from panties merely shifted to the side\n\n#theoldsideshift #annoyance #humansoflatecapitalism,anger
208,My head feels like it's gonna burst 😣 one thing after another all the time 😩,anger
209,The hotel alarm clock keeps going off at 5 am every morning and idk how to unplug it/turn it off 😤,anger
210,I'm fuming I wanted Hamez,anger
212,Tuesday night and the wine is coming out. Just got home from work if that explains it. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ #irritated,anger
217,@jh00die Really?? Because music analyzes your screenshots with my microscope too??? I didn't think so #offended,anger
218,@kathryn_dennis keep your head clear an focused. Do not let T intimidate you or use your children to silence you! Hate when a man does that!,anger
219,Antonio Conte and Chelsea must be fuming. First Lukaku to UTD and now James Rodriguez to Bayern.,anger
220,#furious as fuck!!,anger
221,A person #hates u for 1 of 3 reasons. They 1) want 2b U; 2) #hate themselves. 3) C U as a #threat. (&amp; don't tell me hate doesn't exist!),anger
222,@altontowers Loves the rich!!! Fuck us 'working class folk' and our kids! #fuming #joke #scandalous #disgusting #altontowers  😡😡,anger
223,"It's not length, it's A #gnawing #sense of #dread.",anger
234,Thousands of pickled dunder-headed anthracites ! #furious,anger
235,'I'm #angry so I'm going to make you #spend #money on #me.' - @ Me\n#PrimeDay,anger
237,@AliceOsborne98 I'll second that #arsehole,anger
239,Cannot express my #hatred for @ATT they even screw me at work! 😠 this is 2nd time they cut our lines #idiots #worthless #needtobefined,anger
240,fuck shit fuck fuck shit  #suicideISanoption,anger
241,Nothing fuels my daily anger and hatred like a bus driver who stops at a yellow light,anger
244,.@PayPal  why do you always make it so incredibly difficult to do anything or get anything resolved?  #customerservice #sucks,anger
247,y'all spend every paycheck on a new pack of drugs to sell or guns y'all just threaten people with...,anger
249,#Vocabulary #1: Crap : extremely poor in quality.\n\nEx3: That movie was terrible. I can't believe I just wasted $10 on such #crap !\n\n#English,anger
252,@LovinUnited That'll be Madrid throwing a huff over Morata and De Gea. Fuck them,anger
255,@RightNewsUK Poor dogs! Have to bite that sun of a bitch! 😠,anger
256,@Za1d hota hai terrorism ka majhab hota hai and dat is Islam soldiers of allah killing innocent people around the world #RadicalIslam,anger
257,Having a bad day @TescoIrl #nightmare,anger
260,@DPD_UK apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful,anger
265,@EEMufCPM Stupid cunt is relentless with his bullshit,anger
270,#stressed #anxious #nervous #angry then #drinking #smoking #excessiveexorcise #bingeeating #writing #purging #cutting #yoga\n#endthestigma,anger
272,Just fell down a @BuzzFeed food quiz hole 😬so now I want all the British food even though it told me I was from London! #outrage,anger
274,"I actually hate Vision. Coming over from @emiswebsupport is like moving from Man City to QPR. A league below, past it and clouded in chaos.",anger
275,Cancelled trains make me so mad because we could've spent more time with Kodak in the morning 😡  #ihatetuesdays #ffffff,anger
276,@SamLouise112 A child breathing too heavily in china could infuriate you,anger
278,It's 2017 and there still isn't an app to stop you from drunk texting #rage,anger
279,"I feel like I tried to do this one for SB Nation once and my conclusion was 'wait, actually, almost everybody is #mad #online'",anger
288,My boss' have a right grudge against me today🙄,anger
291,"@virginmedia I was just on the phone are twenty minutes with 3 people, non could help and then it cut out your end. What's going on? #awful",anger
295,"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",anger
296,@villodotexe This is the most fucking cursed FEHeroes unit I've ever had the displeasure of seeing,anger
298,angry? the austrian in front of you is even angrier,anger
299,I'm still bitter about the fact that I didn't get the Php 10/liter promo.,anger
306,#LT a mom let her kid pay for the bus. The kid dropped the coins. I'm boiling in rage. My face may be straight bu my eyes say IMGONNAKILLYA,anger
307,I rage quit on Minecraft and I deleted the game. #rage,anger
310,@ajcrompton1 Humanist &amp; sailor!? 😂😂😂😂😂😂😂😂  You forgot to add big time loser! #arsehole 🇬🇧,anger
314,"@propulse @UCI_cycling That and arse on the top tube descending, a fugly affront to cycling",anger
317,"Juvenile peregrine being chased by gulls this morning on blackswarth rd, Saint George 05.30 #cartick #worktick #howsad #fuming 😉",anger
319,Y'all hate anything y'all not apart of or don't understand.. #miserable,anger
324,@RepLeeZeldin Horrible CNN interview.  U can't talk urself out if a paper bag. U don't even buy the crap that was coming out of ur mouth. 👎,anger
331,"@chuckwoolery I Feel sick reading this, when does it end? #dread #civil war? #sad",anger
332,This special report interrupting #bachelorinparadise #pissed,anger
334,@greateranglia bought a ticket from Harlow T to Heathrow from ticket machine and it was not accepted by Heathrow express #fuming,anger
336,"@NextHelp @nextofficial disappointed...early VIP sale slot, full basket. Site crashed. Twice. Lost my order. #annoyed #nextvipsale",anger
340,Up early. Kicking ass and taking names. #offense.,anger
344,@ghenesnowdon @NoOneGOT2 @MochaUson Exactly  because of their  #bitterness   #FiatLoserIdiotAquinoFollower,anger
346,@PUBATTLEGROUNDS how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon. ,anger
354,@OfficialPLT when you try to place an order on PLT website and it comes up with an error but still take money out of my account #fuming,anger
357,I get so heated when I see people go to Thailand and post pictures at places I KNOW animals are exploited and abused. #fuming 🙃,anger
358,"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage",anger
363,"The Majority is angry. Use of words like Kashmiriyat infuriate it further. Hope ministers, spokesmen weigh words ...",anger
369,Bitch do not offend me.,anger
375,@bigjordan924 Wow you don't read mine? #offended,anger
376,Lost my favorite hoodie in 2nd grade and im still pissed about it,anger
377,"@Topshop where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful",anger
385,Honestly Michael Clifford is so fucking ugly who let that rabid dog make music,anger
388,I'M PISSED!! NOTHING HAPPENED DURING THE ECLIPSE!! NOTHING!!!!  #party,anger
389,"We're in the bathroom and you perch on the sink,\nI begin to infatuate, exasperate, resuscitate.",anger
394,Man having sinuses is some of the weakest shit 😡 my face and head still hurting smh,anger
395,'look at your face in a mirror... You are so fat and dark... You can't have lunch with us' #kids #meangirls #rude #insult,anger
396,Goddamn fucking piece of shit panic attacks...,anger
397,Pages like AjPlus profit off our outrage... they serve no purpose other than to show us shit that pisses us off. Don't need that negativity,anger
399,@Independent Because Ken is a rabid lefty extremist and propagandist.,anger
402,I just #revenge killed a red ant for biting my son's finger. #iammommabearhearmeroar 🔪🐜🗡,anger
403,Running late  being tired and having road rage is the worst combination,anger
404,"@s_navroop Bholenath ne apna Gussa toh nikaalna hai. Either the government helps take out Terrorism and do HIS work, Or the wrath is on GOVT",anger
407,@MichaelGrantBks @BethellMarilyn @foxandfriends @realDonaldTrump You are a very bitter person.....sad!!,anger
414,Internet 😠 Waiting 15 minutes for my Snapchat to update and it's only a fraction done.,anger
415,@bbctennis why on earth do you keep changing the channels? There is no logic to it and makes recording impossible!!!!  #frustrated #angry,anger
417,I'm just trying to watch the dragon ball super episode before I go to work but it won't load so #pissed,anger
420,@tifanibartlett @_MadiMackk No ones trying to fuck with you tiff.,anger
423,Trying my hardest not to curse people off. I look annoyed for a reason don't tell me to smile bitch!,anger
426,"AED Adjusting, sent 4 people to a tiny home to nitpick, fob us off only to leave for a discussion about what to do.  #endofmytether",anger
427,Never seen such embarrassing tantrums from a grown man as the ones from @dwpoker on #MasterchefUSA ...great example for your child there 👌🏼🙄,anger
